term,english,desc,category
인공지능,Artificial Intelligence,인간의 지적 행동을 컴퓨터가 수행할 수 있도록 하는 기술,기초
머신러닝,Machine Learning,데이터를 통해 컴퓨터가 스스로 학습하여 예측이나 결정을 내리는 기술,기초
딥러닝,Deep Learning,인공지능의 한 분야로, 인간의 뇌 구조를 모방한 신경망을 사용하는 학습 방법,기초
신경망,Neural Network,생체 신경세포의 구조와 기능을 모방한 수학적 모델,기초
강화학습,Reinforcement Learning,보상을 최대화하기 위해 에이전트가 환경과 상호작용하며 학습하는 방법,기초
지도학습,Supervised Learning,정답이 있는 훈련 데이터를 사용하여 모델을 학습시키는 방법,학습
비지도학습,Unsupervised Learning,정답 없이 데이터의 구조나 패턴을 발견하는 학습 방법,학습
준지도학습,Semi-supervised Learning,정답이 있는 소량의 데이터와 정답이 없는 대량의 데이터를 함께 사용해 학습하는 방법,학습
클러스터링,Clustering,유사한 특성을 가진 데이터들을 그룹으로 분류하는 방법,분석
회귀분석,Regression Analysis,변수 간의 관계를 분석하고 연속적인 값을 예측하는 통계적 방법,분석
의사결정나무,Decision Tree,결정 규칙을 나무 구조로 나타내는 예측 모델,모델
랜덤 포레스트,Random Forest,여러 개의 결정나무를 결합하여 예측 정확도를 높이는 앙상블 방법,모델
서포트 벡터 머신,Support Vector Machine,데이터를 분류하거나 회귀 분석에 사용하는 기계학습 알고리즘,모델
앙상블 학습,Ensemble Learning,여러 모델을 결합하여 더 나은 예측을 하는 방법,학습
배깅,Bagging,데이터를 무작위로 샘플링하여 여러 모델을 학습시키고 결과를 평균내는 방법,학습
부스팅,Boosting,이전 모델의 오차를 보완하며 순차적으로 모델을 학습시키는 방법,학습
규제화,Regularization,모델의 과대적합을 방지하기 위해 복잡도에 페널티를 부과하는 방법,학습
L1 규제,L1 Regularization,가중치의 절대값 합을 페널티로 주어 일부 가중치를 0으로 만드는 방법 (Lasso),학습
L2 규제,L2 Regularization,가중치의 제곱합을 페널티로 주어 가중치 크기를 줄이는 방법 (Ridge),학습
과대적합,Overfitting,훈련 데이터에 지나치게 맞춰 일반화 능력이 떨어지는 현상,학습
과소적합,Underfitting,모델이 데이터의 패턴을 충분히 학습하지 못한 상태,학습
손실함수,Loss Function,모델의 예측과 실제 값 사이의 오차를 측정하는 함수,학습
평균제곱오차,Mean Squared Error,예측값과 실제값의 차이의 제곱의 평균 (회귀 모델 평가),평가
교차 엔트로피,Cross Entropy,두 확률 분포의 차이를 측정하는 함수 (분류 모델 손실함수),학습
옵티마이저,Optimizer,손실 함수를 최소화하기 위해 모델 파라미터를 조정하는 알고리즘,학습
경사하강법,Gradient Descent,손실 함수의 기울기를 따라 최소값을 찾는 최적화 알고리즘,학습
확률적 경사하강법,Stochastic Gradient Descent,매 단계에서 무작위 샘플 하나만 사용하여 기울기를 계산하는 방법,학습
Adam,Adaptive Moment Estimation,학습률을 유동적으로 조정하는 가장 널리 쓰이는 옵티마이저,학습
학습률,Learning Rate,옵티마이저가 파라미터를 업데이트하는 단계의 크기,학습
에폭,Epoch,훈련 데이터 전체를 한 번씩 학습하는 단위,학습
배치 크기,Batch Size,한 번의 파라미터 업데이트에 사용되는 샘플의 수,학습
데이터 증강,Data Augmentation,기존 데이터를 변환하여 데이터셋을 확장하는 방법,전처리
정규화,Normalization,데이터의 스케일을 0과 1 사이로 맞추는 전처리 과정,전처리
표준화,Standardization,데이터의 평균을 0, 표준편차를 1로 맞추는 전처리 과정,전처리
특성 공학,Feature Engineering,모델 성능을 높이기 위해 원본 데이터에서 새로운 특성을 생성하는 과정,전처리
특성 선택,Feature Selection,모델 성능에 중요한 특성만 선택하여 복잡도를 줄이는 방법,전처리
원-핫 인코딩,One-Hot Encoding,범주형 데이터를 이진 벡터로 변환하는 방법,전처리
정확도,Accuracy,전체 예측 중 올바르게 예측한 비율,평가
정밀도,Precision,긍정으로 예측한 것 중 실제 긍정이 맞는 비율,평가
재현율,Recall,실제 긍정인 것 중 긍정으로 예측한 비율,평가
F1 점수,F1 Score,정밀도와 재현율의 조화 평균,평가
ROC 곡선,ROC Curve,임계값 변화에 따른 TPR과 FPR의 관계를 나타낸 그래프,평가
AUC,Area Under Curve,ROC 곡선 아래의 면적, 분류 모델의 성능 지표,평가
교차 검증,Cross Validation,데이터를 여러 부분으로 나누어 모델의 일반화 성능을 검증하는 방법,평가
혼동 행렬,Confusion Matrix,예측 결과와 실제 값의 관계를 표로 나타낸 것,평가
자연어 처리,Natural Language Processing,컴퓨터가 인간의 언어를 이해하고 생성하는 기술,응용
텍스트 마이닝,Text Mining,텍스트 데이터에서 유용한 정보를 추출하는 분석 기술,응용
감성 분석,Sentiment Analysis,텍스트에 담긴 긍정, 부정 등의 감정을 분석하는 방법,응용
토큰화,Tokenization,텍스트를 분석 가능한 최소 단위(토큰)로 나누는 과정,전처리
형태소 분석,Morphological Analysis,언어의 최소 의미 단위인 형태소로 분석하는 과정,전처리
워드 임베딩,Word Embedding,단어를 고차원 벡터로 변환하여 의미적 유사도를 표현하는 기술,전처리
Word2Vec,Word2Vec,주변 단어를 통해 단어의 의미를 학습하는 임베딩 기법,모델
챗봇,Chatbot,대화형 인터페이스를 통해 사용자와 소통하는 AI 시스템,응용
컴퓨터 비전,Computer Vision,디지털 이미지나 비디오를 분석하고 이해하는 기술,응용
이미지 인식,Image Recognition,이미지 내의 객체가 무엇인지 식별하는 기술,응용
객체 탐지,Object Detection,이미지 내 객체의 위치(BBox)와 종류를 동시에 찾는 기술,응용
세그멘테이션,Segmentation,이미지를 픽셀 단위로 정밀하게 분할하는 기술,응용
생성형 AI,Generative AI,새로운 텍스트, 이미지, 오디오 등을 생성하는 AI,응용
대형 언어 모델,Large Language Model,방대한 양의 텍스트로 학습된 거대 규모의 언어 모델,응용
전이 학습,Transfer Learning,사전 학습된 모델의 지식을 새로운 작업에 적용하는 방법,학습
파인 튜닝,Fine-tuning,사전 학습된 모델을 특정 데이터셋에 맞춰 미세 조정하는 과정,학습
하이퍼파라미터,Hyperparameter,사용자가 직접 설정하는 모델의 외부 설정값,학습
텐서,Tensor,딥러닝에서 사용하는 다차원 배열,기초
레이어,Layer,신경망의 층. 입력층, 은닉층, 출력층으로 구성,모델
가중치,Weight,신경망에서 연결 강도를 나타내는 파라미터,모델
편향,Bias,뉴런의 활성화 임계값을 조절하는 파라미터,모델
활성화 함수,Activation Function,입력 신호를 출력 신호로 변환하는 비선형 함수,모델
ReLU,Rectified Linear Unit,0보다 작은 값은 0으로, 큰 값은 그대로 출력하는 함수,모델
시그모이드,Sigmoid,출력값을 0과 1 사이로 변환하는 함수,모델
소프트맥스,Softmax,여러 클래스의 출력값을 확률 분포로 변환하는 함수,모델
역전파,Backpropagation,출력층의 오차를 입력층 방향으로 전달하며 가중치를 업데이트하는 방법,학습
경사 소실,Vanishing Gradient,역전파 과정에서 기울기가 점점 작아져 학습이 안 되는 현상,학습
경사 폭주,Exploding Gradient,기울기가 너무 커져서 가중치가 불안정하게 업데이트되는 현상,학습
드롭아웃,Dropout,학습 시 무작위로 뉴런을 제외하여 과대적합을 방지하는 기법,학습
배치 정규화,Batch Normalization,각 층의 입력을 정규화하여 학습 속도를 높이고 안정화하는 방법,학습
컨볼루션 신경망,Convolutional Neural Network,이미지의 공간적 정보를 유지하며 특징을 추출하는 모델,모델
풀링,Pooling,특성 맵의 크기를 줄여 계산량을 줄이고 주요 특징을 추출하는 과정,모델
순환 신경망,Recurrent Neural Network,시퀀스 데이터 처리를 위해 이전 정보를 기억하는 신경망,모델
LSTM,Long Short-Term Memory,RNN의 장기 기억 문제를 해결한 게이트 구조의 신경망,모델
GRU,Gated Recurrent Unit,LSTM의 구조를 단순화하여 효율성을 높인 순환 신경망,모델
어텐션,Attention,입력 데이터 중 중요한 부분에 더 집중하여 처리하는 메커니즘,모델
셀프 어텐션,Self-Attention,하나의 시퀀스 내에서 단어 간의 관계를 스스로 계산하는 방법,모델
트랜스포머,Transformer,RNN 없이 어텐션만으로 시퀀스를 처리하는 딥러닝 아키텍처,모델
인코더,Encoder,입력 데이터를 의미 있는 벡터로 변환하는 부분,모델
디코더,Decoder,벡터를 다시 원래의 데이터 형태로 복원하는 부분,모델
BERT,Bidirectional Encoder Representations from Transformers,문맥을 양방향으로 이해하는 트랜스포머 기반 언어 모델,모델
GPT,Generative Pre-trained Transformer,다음 단어를 예측하며 텍스트를 생성하는 트랜스포머 기반 모델,모델
추론,Inference,학습된 모델을 사용하여 새로운 데이터에 대한 답을 내는 과정,학습
모델 배포,Model Deployment,개발한 모델을 실제 서비스 환경에 적용하는 과정,개발
모델 서빙,Model Serving,모델을 API 형태로 제공하여 요청을 처리하는 시스템,개발
온라인 학습,Online Learning,새로운 데이터가 들어올 때마다 모델을 실시간으로 업데이트하는 방법,학습
분산 학습,Distributed Learning,여러 대의 GPU/CPU를 사용하여 대규모 모델을 학습시키는 방법,학습
연합 학습,Federated Learning,데이터를 중앙으로 모으지 않고 로컬에서 학습 후 모델 파라미터만 공유하는 방법,학습
AutoML,Automated Machine Learning,모델 선택, 하이퍼파라미터 튜닝 등을 자동화하는 기술,개발
MLOps,Machine Learning Operations,ML 모델의 개발, 배포, 운영 전 과정을 체계화하는 실무,개발
설명 가능한 AI,Explainable AI,AI가 왜 그런 결정을 내렸는지 인간이 이해할 수 있게 설명하는 기술,윤리
AI 윤리,AI Ethics,AI 개발과 사용에 있어 지켜야 할 도덕적 기준과 원칙,윤리
알고리즘 편향,Algorithmic Bias,학습 데이터의 편향으로 인해 발생하는 불공정한 결과,윤리
할루시네이션,Hallucination,LLM이 사실이 아닌 내용을 그럴듯하게 만들어내는 현상,윤리
프롬프트 엔지니어링,Prompt Engineering,AI로부터 최적의 답을 얻기 위해 입력문을 설계하는 기술,개발
RAG,Retrieval-Augmented Generation,외부 지식베이스에서 정보를 검색해 생성 결과의 정확도를 높이는 기술,개발
멀티모달 AI,Multimodal AI,텍스트, 이미지, 음성 등 여러 형태의 데이터를 동시에 처리하는 AI,응용
제로샷 학습,Zero-shot Learning,학습 데이터에 없던 클래스에 대해 예측을 수행하는 방법,학습
퓨샷 학습,Few-shot Learning,매우 적은 양의 예시 데이터만으로 새로운 작업을 학습하는 방법,학습
RLHF,Reinforcement Learning from Human Feedback,인간의 피드백을 통해 모델의 출력물을 정렬하고 최적화하는 방법,학습
토큰,Token,언어 모델이 처리하는 텍스트의 기본 단위,전처리
컨텍스트 윈도우,Context Window,모델이 한 번에 처리할 수 있는 최대 토큰 수,모델
임베딩 공간,Embedding Space,데이터가 벡터로 표현되어 배치된 고차원 공간,기초
온디바이스 AI,On-device AI,클라우드를 거치지 않고 기기 자체에서 AI 연산을 수행하는 기술,개발
